id,original_id,category,trap_type,how_to_avoid
neuro_001,58.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_002,59.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_003,60.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_004,61.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_005,63.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_006,66.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_007,68.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_008,70.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_009,71.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_010,72.1,Neurodegenerative,localization,Map side + modality + tract before choosing an answer.
neuro_011,73.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_012,74.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_013,78.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_014,79.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_015,80.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_016,81.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_017,82.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_018,83.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_019,88.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_020,1.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_021,3.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_022,7.1,Peripheral / NMJ,localization,Map side + modality + tract before choosing an answer.
neuro_023,8.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_024,9.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_025,11.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_026,12.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_027,14.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_028,16.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_029,17.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_030,18.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_031,19.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_032,20.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_033,21.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_034,22.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_035,156.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_036,158.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_037,163.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_038,165.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_039,168.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_040,169.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_041,170.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_042,171.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_043,173.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_044,174.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_045,175.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_046,176.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_047,177.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_048,179.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_049,180.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_050,24.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_051,26.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_052,29.1,Headache,localization,Map side + modality + tract before choosing an answer.
neuro_053,30.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_054,32.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_055,33.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_056,34.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_057,36.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_058,37.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_059,38.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_060,39.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_061,40.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_062,41.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_063,42.1,Cranial Nerves,localization,Map side + modality + tract before choosing an answer.
neuro_064,43.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_065,44.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_066,46.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_067,47.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_068,48.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_069,49.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_070,50.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_071,51.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_072,52.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_073,53.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_074,54.1,Neurodegenerative,localization,Map side + modality + tract before choosing an answer.
neuro_075,55.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_076,89.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_077,90.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_078,91.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_079,94.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_080,97.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_081,99.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_082,102.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_083,103.1,Stroke / Localization,concept_mixup,"Use the dominant deficit, not incidental details."
neuro_084,104.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_085,105.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_086,106.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_087,107.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_088,108.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_089,110.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_090,112.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_091,115.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_092,116.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_093,117.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_094,118.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_095,120.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_096,121.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_097,122.1,Peripheral / NMJ,localization,Map side + modality + tract before choosing an answer.
neuro_098,124.1,Headache,localization,Map side + modality + tract before choosing an answer.
neuro_099,125.1,Demyelinating disease,localization,Map side + modality + tract before choosing an answer.
neuro_100,126.1,Neurodegenerative,localization,Map side + modality + tract before choosing an answer.
neuro_101,127.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_102,128.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_103,130.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_104,131.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_105,132.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_106,134.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_107,137.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_108,138.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_109,139.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_110,140.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_111,141.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_112,144.1,Peripheral / NMJ,localization,Map side + modality + tract before choosing an answer.
neuro_113,146.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_114,148.1,Peripheral / NMJ,localization,Map side + modality + tract before choosing an answer.
neuro_115,149.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_116,151.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
neuro_117,152.1,Stroke / Localization,localization,Map side + modality + tract before choosing an answer.
